"INTF Name", "INTF Addr", "INTF Data", "INTF Array", "INTF Be", "Has TpSRAM"
MbistIntfFrontend,10,76,7,76,false
"SRAM Name","SRAM Type","SRAM array","pipeline depth","bitWrite","bank addr","selectOH width","foundry","SRAM Inst"
bpu_predictors_ftb_ftbBank_ftb_array_0_0_3_node0,sram_array_1p512x40m10s1h0l1b_bp_ftb.sv,39,4,true,None,1,Unknown,STANDARD
bpu_predictors_ftb_ftbBank_ftb_array_0_0_4_node0,sram_array_1p512x40m10s1h0l1b_bp_ftb.sv,40,4,true,None,1,Unknown,STANDARD
bpu_predictors_ftb_ftbBank_ftb_array_0_0_5_node0,sram_array_1p512x40m10s1h0l1b_bp_ftb.sv,41,4,true,None,1,Unknown,STANDARD
bpu_predictors_ftb_ftbBank_ftb_array_0_0_6_node0,sram_array_1p512x40m10s1h0l1b_bp_ftb.sv,42,4,true,None,1,Unknown,STANDARD
bpu_predictors_ftb_ftbBank_ftb_array_0_0_7_node0,sram_array_1p512x40m10s1h0l1b_bp_ftb.sv,43,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_0_us_array_array_0_0_0_node0,sram_array_1p256x16m1s1h0l1b_bp_tage_us.sv,44,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_0_table_banks_0_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,45,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_0_table_banks_1_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,46,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_0_table_banks_2_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,47,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_0_table_banks_3_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,48,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_1_us_array_array_0_0_0_node0,sram_array_1p256x16m1s1h0l1b_bp_tage_us.sv,49,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_1_table_banks_0_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,50,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_1_table_banks_1_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,51,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_1_table_banks_2_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,52,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_1_table_banks_3_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,53,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_2_us_array_array_0_0_0_node0,sram_array_1p256x16m1s1h0l1b_bp_tage_us.sv,54,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_2_table_banks_0_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,55,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_2_table_banks_1_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,56,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_2_table_banks_2_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,57,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_2_table_banks_3_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,58,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_3_us_array_array_0_0_0_node0,sram_array_1p256x16m1s1h0l1b_bp_tage_us.sv,59,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_3_table_banks_0_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,60,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_3_table_banks_1_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,61,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_3_table_banks_2_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,62,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_tables_3_table_banks_3_array_array_0_0_0_node0,sram_array_1p512x24m12s1h0l1b_bp_tage.sv,63,4,true,None,1,Unknown,STANDARD
