"INTF Name", "INTF Addr", "INTF Data", "INTF Array", "INTF Be", "Has TpSRAM"
MbistIntfMemBlk,9,148,7,2,false
"SRAM Name","SRAM Type","SRAM array","pipeline depth","bitWrite","bank addr","selectOH width","foundry","SRAM Inst"
dcache_dcache_tagArray_array_1_tag_arrays_1_tag_array_node0,sram_array_1p256x86m43s1h0l1b_dcsh_tag.sv,35,4,true,None,1,Unknown,STANDARD
dcache_dcache_tagArray_array_2_tag_arrays_0_tag_array_node0,sram_array_1p256x86m43s1h0l1b_dcsh_tag.sv,36,4,true,None,1,Unknown,STANDARD
dcache_dcache_tagArray_array_2_tag_arrays_1_tag_array_node0,sram_array_1p256x86m43s1h0l1b_dcsh_tag.sv,37,4,true,None,1,Unknown,STANDARD
dcache_dcache_tagArray_array_3_tag_arrays_0_tag_array_node0,sram_array_1p256x86m43s1h0l1b_dcsh_tag.sv,38,4,true,None,1,Unknown,STANDARD
dcache_dcache_tagArray_array_3_tag_arrays_1_tag_array_node0,sram_array_1p256x86m43s1h0l1b_dcsh_tag.sv,39,4,true,None,1,Unknown,STANDARD
ptw_ptw_bitmapcache_bitmapcache_array_0_0_0_node0,sram_array_1p32x90m45s1h0l1b_bitmap.sv,40,4,true,None,1,Unknown,STANDARD
ptw_ptw_bitmapcache_bitmapcache_array_0_0_1_node0,sram_array_1p32x90m45s1h0l1b_bitmap.sv,41,4,true,None,1,Unknown,STANDARD
ptw_ptw_bitmapcache_bitmapcache_array_0_1_0_node0,sram_array_1p32x90m45s1h0l1b_bitmap.sv,42,4,true,None,1,Unknown,STANDARD
ptw_ptw_bitmapcache_bitmapcache_array_0_1_1_node0,sram_array_1p32x90m45s1h0l1b_bitmap.sv,43,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l1_array_0_0_0_node0,sram_array_1p4x786m131s1h0l1b_ptw_l1.sv,44,4,true,None,6,Unknown,STANDARD
ptw_ptw_cache_l1_array_0_0_0_node1,sram_array_1p4x786m131s1h0l1b_ptw_l1.sv,45,4,true,None,6,Unknown,STANDARD
ptw_ptw_cache_l1_array_0_0_0_node2,sram_array_1p4x786m131s1h0l1b_ptw_l1.sv,46,4,true,None,6,Unknown,STANDARD
ptw_ptw_cache_l1_array_0_0_0_node3,sram_array_1p4x786m131s1h0l1b_ptw_l1.sv,47,4,true,None,6,Unknown,STANDARD
ptw_ptw_cache_l1_array_0_0_0_node4,sram_array_1p4x786m131s1h0l1b_ptw_l1.sv,48,4,true,None,6,Unknown,STANDARD
ptw_ptw_cache_l1_array_0_0_0_node5,sram_array_1p4x786m131s1h0l1b_ptw_l1.sv,49,4,true,None,6,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_0_0_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,50,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_0_1_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,51,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_0_2_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,52,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_0_3_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,53,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_0_4_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,54,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_0_5_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,55,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_0_6_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,56,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_0_7_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,57,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_1_0_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,58,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_1_1_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,59,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_1_2_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,60,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_1_3_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,61,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_1_4_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,62,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_1_5_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,63,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_1_6_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,64,4,true,None,1,Unknown,STANDARD
ptw_ptw_cache_l0_array_0_1_7_node0,sram_array_1p64x114m57s1h0l1b_ptw_l0.sv,65,4,true,None,1,Unknown,STANDARD
prefetcherOpt_pht_pht_ram_node0,sram_array_1p32x148m74s1h0l1b_pftch_pht.sv,66,4,true,None,1,Unknown,STANDARD
